[ 3805.956265] tgid, 2039, delta_vrun, 62359, delta_rrun, 63966, prio, 120
[ 3806.443753] tgid, 2415, delta_vrun, 166, delta_rrun, 121458, prio, 110
[ 3806.987984] tgid, 2739, delta_vrun, 30233, delta_rrun, 30233, prio, 120
[ 3807.153023] tgid, 1840, delta_vrun, 73933, delta_rrun, 77371, prio, 120
[ 3807.587299] tgid, 2739, delta_vrun, 12500, delta_rrun, 12500, prio, 120
[ 3808.335023] tgid, 4842, delta_vrun, 7158, delta_rrun, 7158, prio, 120
[ 3809.625234] tgid, 2039, delta_vrun, 41986, delta_rrun, 41986, prio, 120
[ 3809.879131] tgid, 10, delta_vrun, 21244, delta_rrun, 21244, prio, 120
[ 3810.166904] tgid, 2415, delta_vrun, 3850, delta_rrun, 77803, prio, 110
[ 3810.588923] tgid, 1840, delta_vrun, 34069, delta_rrun, 35380, prio, 120
[ 3810.905581] tgid, 784, delta_vrun, 166612, delta_rrun, 166612, prio, 120
[ 3810.979229] tgid, 2415, delta_vrun, 6160, delta_rrun, 57441, prio, 110
[ 3811.410600] tgid, 1981, delta_vrun, 90666, delta_rrun, 90666, prio, 120
[ 3811.513027] tgid, 2039, delta_vrun, 204915, delta_rrun, 215906, prio, 120
[ 3812.274296] tgid, 4389, delta_vrun, 207305, delta_rrun, 207305, prio, 120
[ 3812.385592] tgid, 4842, delta_vrun, 121298, delta_rrun, 121298, prio, 120
[ 3813.163407] tgid, 2739, delta_vrun, 130280, delta_rrun, 207168, prio, 120
[ 3813.454254] tgid, 2739, delta_vrun, 8426, delta_rrun, 8426, prio, 120
[ 3813.624523] tgid, 4842, delta_vrun, 381074, delta_rrun, 381074, prio, 120
[ 3813.766668] tgid, 1840, delta_vrun, 244478, delta_rrun, 244478, prio, 120
[ 3813.911128] tgid, 1840, delta_vrun, 88334, delta_rrun, 90669, prio, 120
[ 3814.662195] tgid, 2415, delta_vrun, 182, delta_rrun, 128167, prio, 110
[ 3815.633612] tgid, 2039, delta_vrun, 26094, delta_rrun, 27648, prio, 120
[ 3816.169497] tgid, 2415, delta_vrun, 1504, delta_rrun, 81648, prio, 110
[ 3816.296833] tgid, 1, delta_vrun, 26406, delta_rrun, 26406, prio, 120
[ 3816.952776] tgid, 1840, delta_vrun, 127606, delta_rrun, 127606, prio, 120
[ 3817.219066] tgid, 2039, delta_vrun, 144090, delta_rrun, 146320, prio, 120
[ 3818.219911] tgid, 2415, delta_vrun, 820, delta_rrun, 65268, prio, 110
[ 3818.284618] tgid, 2415, delta_vrun, 5378, delta_rrun, 94411, prio, 110
[ 3818.325670] tgid, 2415, delta_vrun, 14716, delta_rrun, 137221, prio, 110
[ 3818.879140] tgid, 2739, delta_vrun, 47882, delta_rrun, 49931, prio, 120
[ 3819.140879] tgid, 2739, delta_vrun, 23552, delta_rrun, 134849, prio, 120
[ 3819.269499] tgid, 2739, delta_vrun, 57119, delta_rrun, 57119, prio, 120
[ 3819.532336] tgid, 830, delta_vrun, 121456, delta_rrun, 121456, prio, 120
[ 3819.758735] tgid, 4842, delta_vrun, 22898, delta_rrun, 22898, prio, 120
[ 3823.282265] tgid, 2415, delta_vrun, 157, delta_rrun, 142759, prio, 110
[ 3823.556722] tgid, 2739, delta_vrun, 27013, delta_rrun, 27013, prio, 120
[ 3823.617977] tgid, 2739, delta_vrun, 51147, delta_rrun, 271811, prio, 120
[ 3823.632784] tgid, 1840, delta_vrun, 50881, delta_rrun, 53305, prio, 120
[ 3824.532400] tgid, 882, delta_vrun, 169662, delta_rrun, 169662, prio, 120
[ 3824.613056] tgid, 2078, delta_vrun, 2123, delta_rrun, 2123, prio, 120
[ 3824.667020] tgid, 2039, delta_vrun, 10102, delta_rrun, 7114177, prio, 120
[ 3825.229945] tgid, 2415, delta_vrun, 3746, delta_rrun, 34934, prio, 110
[ 3825.918838] tgid, 2039, delta_vrun, 2439, delta_rrun, 2439, prio, 120
[ 3826.260827] tgid, 2415, delta_vrun, 14663, delta_rrun, 159716, prio, 110
[ 3826.887649] tgid, 2039, delta_vrun, 509231, delta_rrun, 509231, prio, 120
[ 3828.543807] tgid, 1840, delta_vrun, 265697, delta_rrun, 265697, prio, 120
[ 3829.043705] tgid, 2249, delta_vrun, 239762, delta_rrun, 243886, prio, 120
[ 3829.396306] tgid, 2039, delta_vrun, 430362, delta_rrun, 430362, prio, 120
[ 3829.587486] tgid, 1840, delta_vrun, 24740, delta_rrun, 24740, prio, 120
[ 3829.602152] tgid, 4842, delta_vrun, 25658, delta_rrun, 25658, prio, 120
[ 3830.374590] tgid, 2415, delta_vrun, 7904, delta_rrun, 73699, prio, 110
[ 3830.768739] tgid, 2739, delta_vrun, 6648, delta_rrun, 6648, prio, 120
[ 3830.895778] tgid, 2039, delta_vrun, 22748, delta_rrun, 22748, prio, 120
[ 3830.947275] tgid, 2039, delta_vrun, 2025, delta_rrun, 2025, prio, 120
[ 3831.057814] tgid, 1840, delta_vrun, 234365, delta_rrun, 236765, prio, 120
[ 3831.551911] tgid, 2739, delta_vrun, 41406, delta_rrun, 41406, prio, 120
[ 3831.608590] tgid, 1864, delta_vrun, 62549, delta_rrun, 62549, prio, 120
[ 3831.914711] tgid, 2039, delta_vrun, 2840192, delta_rrun, 2843206, prio, 120
[ 3831.918358] tgid, 2039, delta_vrun, 99084, delta_rrun, 99084, prio, 120
[ 3832.638910] tgid, 1840, delta_vrun, 47596, delta_rrun, 47596, prio, 120
[ 3832.643439] tgid, 10, delta_vrun, 8773, delta_rrun, 8773, prio, 120
[ 3833.023469] tgid, 2415, delta_vrun, 4589, delta_rrun, 268258, prio, 110
[ 3833.306787] tgid, 2415, delta_vrun, 2082, delta_rrun, 19415, prio, 110
[ 3833.938075] tgid, 2415, delta_vrun, 8454, delta_rrun, 78834, prio, 110
[ 3835.577739] tgid, 2415, delta_vrun, 4069, delta_rrun, 109149, prio, 110
[ 3835.627981] tgid, 2739, delta_vrun, 16934, delta_rrun, 16934, prio, 120
[ 3836.578981] tgid, 2739, delta_vrun, 4556, delta_rrun, 4556, prio, 120
[ 3837.824328] tgid, 2415, delta_vrun, 2086, delta_rrun, 19451, prio, 110
[ 3838.407332] tgid, 1981, delta_vrun, 57094, delta_rrun, 57094, prio, 120
[ 3838.710354] tgid, 2415, delta_vrun, 3749, delta_rrun, 37007, prio, 110
[ 3840.696944] tgid, 2739, delta_vrun, 8772, delta_rrun, 8772, prio, 120
[ 3841.405240] tgid, 2397, delta_vrun, 4090, delta_rrun, 4090, prio, 120
[ 3841.475245] tgid, 2039, delta_vrun, 43741, delta_rrun, 43741, prio, 120
[ 3841.512605] tgid, 1840, delta_vrun, 1013467, delta_rrun, 1017197, prio, 120
[ 3841.894539] tgid, 2415, delta_vrun, 480, delta_rrun, 200609, prio, 110
[ 3842.144175] tgid, 2415, delta_vrun, 3601, delta_rrun, 160197, prio, 110
[ 3842.324016] tgid, 2739, delta_vrun, 4150, delta_rrun, 4150, prio, 120
[ 3843.270189] tgid, 2039, delta_vrun, 448446, delta_rrun, 588182, prio, 120
[ 3844.774196] tgid, 2039, delta_vrun, 3121, delta_rrun, 3121, prio, 120
[ 3844.802065] tgid, 2415, delta_vrun, 1721, delta_rrun, 16056, prio, 110
[ 3845.007281] tgid, 2739, delta_vrun, 16913, delta_rrun, 16913, prio, 120
[ 3845.284147] tgid, 2415, delta_vrun, 1580, delta_rrun, 38830, prio, 110
[ 3845.604807] tgid, 1840, delta_vrun, 14314, delta_rrun, 414125, prio, 120
[ 3846.226885] tgid, 2739, delta_vrun, 391291, delta_rrun, 396662, prio, 120
[ 3847.943283] tgid, 2415, delta_vrun, 1439, delta_rrun, 90820, prio, 110
[ 3848.075352] tgid, 2415, delta_vrun, 244, delta_rrun, 2283, prio, 110
[ 3848.586660] tgid, 1840, delta_vrun, 34296, delta_rrun, 34296, prio, 120
[ 3848.876243] tgid, 342, delta_vrun, 265, delta_rrun, 23002, prio, 100
[ 3849.017839] tgid, 2739, delta_vrun, 8396, delta_rrun, 8396, prio, 120
[ 3849.732227] tgid, 1, delta_vrun, 21472, delta_rrun, 21472, prio, 120
[ 3850.123656] tgid, 2739, delta_vrun, 8095, delta_rrun, 8095, prio, 120
[ 3850.174017] tgid, 2415, delta_vrun, 15108, delta_rrun, 140871, prio, 110
[ 3850.571898] tgid, 2415, delta_vrun, 2378, delta_rrun, 23892, prio, 110
[ 3851.706740] tgid, 2415, delta_vrun, 1666, delta_rrun, 115238, prio, 110
[ 3853.256139] tgid, 2739, delta_vrun, 16637, delta_rrun, 16637, prio, 120
[ 3854.168738] tgid, 2739, delta_vrun, 3417, delta_rrun, 3417, prio, 120
[ 3855.196938] tgid, 2397, delta_vrun, 103891, delta_rrun, 103891, prio, 120
[ 3855.356389] tgid, 2415, delta_vrun, 3473, delta_rrun, 60806, prio, 110
[ 3855.404701] tgid, 2415, delta_vrun, 10567, delta_rrun, 98538, prio, 110
[ 3856.090204] tgid, 2039, delta_vrun, 59604, delta_rrun, 59604, prio, 120
[ 3856.686762] tgid, 1840, delta_vrun, 90921, delta_rrun, 90921, prio, 120
[ 3857.257950] tgid, 2415, delta_vrun, 133, delta_rrun, 1241, prio, 110
[ 3857.485529] tgid, 2739, delta_vrun, 15529, delta_rrun, 15529, prio, 120
[ 3858.608896] tgid, 2014, delta_vrun, 110666, delta_rrun, 113922, prio, 120
[ 3858.711734] tgid, 2415, delta_vrun, 2280, delta_rrun, 191647, prio, 110
[ 3858.873580] tgid, 2039, delta_vrun, 1832050, delta_rrun, 1835088, prio, 120
[ 3859.508742] tgid, 2739, delta_vrun, 58251, delta_rrun, 58251, prio, 120
[ 3860.858998] tgid, 1840, delta_vrun, 151261, delta_rrun, 151261, prio, 120
[ 3862.361452] tgid, 2039, delta_vrun, 494377, delta_rrun, 494377, prio, 120
[ 3862.950800] tgid, 2415, delta_vrun, 179, delta_rrun, 1673, prio, 110
[ 3863.597645] tgid, 2739, delta_vrun, 16853, delta_rrun, 16853, prio, 120
[ 3864.458977] tgid, 2415, delta_vrun, 296, delta_rrun, 2764, prio, 110
[ 3864.855697] tgid, 2739, delta_vrun, 1295, delta_rrun, 1295, prio, 120
[ 3866.094003] tgid, 1981, delta_vrun, 96346, delta_rrun, 96346, prio, 120
[ 3866.471877] tgid, 2415, delta_vrun, 3446, delta_rrun, 59090, prio, 110
[ 3866.843317] tgid, 2415, delta_vrun, 2378, delta_rrun, 22179, prio, 110
[ 3867.035953] tgid, 1840, delta_vrun, 65936, delta_rrun, 65936, prio, 120
