[ 1987.071228] tgid, 2739, delta_vrun, 777088, delta_rrun, 866474, prio, 120
[ 1987.927688] tgid, 2039, delta_vrun, 6166, delta_rrun, 6166, prio, 120
[ 1988.047372] tgid, 2415, delta_vrun, 45949, delta_rrun, 410199, prio, 130
[ 1988.063764] tgid, 2415, delta_vrun, 457243, delta_rrun, 49118, prio, 130
[ 1991.336011] tgid, 2415, delta_vrun, 970863, delta_rrun, 104292, prio, 130
[ 1992.287101] tgid, 2415, delta_vrun, 53974, delta_rrun, 285051, prio, 130
[ 1993.274750] tgid, 1, delta_vrun, 13867, delta_rrun, 13867, prio, 120
[ 1993.502158] tgid, 2039, delta_vrun, 18920, delta_rrun, 18920, prio, 120
[ 1993.629962] tgid, 2397, delta_vrun, 243915, delta_rrun, 243915, prio, 120
[ 1993.722850] tgid, 2415, delta_vrun, 28578, delta_rrun, 27888, prio, 130
[ 1993.833449] tgid, 2078, delta_vrun, 192412, delta_rrun, 356152, prio, 120
[ 1994.095481] tgid, 2415, delta_vrun, 761101, delta_rrun, 184815, prio, 130
[ 1994.214685] tgid, 2415, delta_vrun, 311956, delta_rrun, 77149, prio, 130
[ 1994.705204] tgid, 2722, delta_vrun, 454381, delta_rrun, 454381, prio, 120
[ 1996.114836] tgid, 2739, delta_vrun, 27785, delta_rrun, 27785, prio, 120
[ 1996.307068] tgid, 1840, delta_vrun, 5942, delta_rrun, 113861, prio, 120
[ 1996.399396] tgid, 1840, delta_vrun, 13650, delta_rrun, 13650, prio, 120
[ 1996.754202] tgid, 2415, delta_vrun, 665730, delta_rrun, 71514, prio, 130
[ 1997.371267] tgid, 10, delta_vrun, 29472, delta_rrun, 32115, prio, 120
[ 1998.088799] tgid, 2039, delta_vrun, 4074, delta_rrun, 4074, prio, 120
[ 1998.355300] tgid, 2039, delta_vrun, 63360, delta_rrun, 173199, prio, 120
[ 1998.609314] tgid, 2415, delta_vrun, 24091, delta_rrun, 51482, prio, 130
[ 1998.705455] tgid, 2739, delta_vrun, 26969, delta_rrun, 59298, prio, 120
[ 1998.939485] tgid, 2397, delta_vrun, 97742, delta_rrun, 97742, prio, 120
[ 1999.192773] tgid, 2415, delta_vrun, 24278, delta_rrun, 25391, prio, 130
[ 1999.234049] tgid, 1840, delta_vrun, 29089, delta_rrun, 29089, prio, 120
